SYSCALL(args) 		 = return
getdirentries64(0x3, 0x7FE3D5001800, 0x1000)		 = 0 0
close_nocancel(0x3)		 = 0 0
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist/Contents\0", 0x7FFF52CFF978, 0x1000)		 = -1 Err#2
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist/Resources\0", 0x7FFF52CFF978, 0x1000)		 = -1 Err#2
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist/Support Files\0", 0x7FFF52CFF978, 0x1000)		 = -1 Err#2
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist\0", 0x7FFF52CFFEE8, 0x1000)		 = 0 0
open_nocancel("/Users/elrikdante/Desktop/repos/haskell-c/dist\0", 0x1100004, 0x7FFF52CFFA3D)		 = 3 0
fstatfs64(0x3, 0x7FFF52CFE858, 0x7FFF52CFFA3D)		 = 0 0
getdirentries64(0x3, 0x7FE3D5001800, 0x1000)		 = 184 0
getdirentries64(0x3, 0x7FE3D5001800, 0x1000)		 = 0 0
close_nocancel(0x3)		 = 0 0
stat64("/Users/elrikdante/Desktop/repos/haskell-c/./dist/hs-exe\0", 0x7FFF52CFFD48, 0x1000)		 = 0 0
open("/Users/elrikdante/Desktop/repos/haskell-c/./dist/hs-exe\0", 0x0, 0x1FF)		 = 3 0
read(0x3, "\317\372\355\376\a\0", 0x200)		 = 512 0
close(0x3)		 = 0 0
getaudit_addr(0x7FFF52CFEE80, 0x30, 0x200)		 = 0 0
geteuid(0x7FFF52CFEE80, 0x30, 0x200)		 = 0 0
workq_kernreturn(0x10, 0x0, 0x40)		 = 0 0
workq_open(0x10, 0x0, 0x40)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
thread_selfid(0x0, 0x0, 0x0)		 = 725834 0
workq_kernreturn(0x80, 0x0, 0x20FF)		 = 0 0
kevent_qos(0xFFFFFFFF, 0x7FFFAB2CA930, 0x2)		 = 0 0
kevent_qos(0xFFFFFFFF, 0x7FE3D4600460, 0x1)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
bsdthread_ctl(0x200, 0x0, 0x0)		 = 0 0
bsdthread_ctl(0x400, 0xD03, 0x1000)		 = 0 0
thread_selfid(0x0, 0x0, 0x0)		 = 725835 0
thread_selfid(0x0, 0x0, 0x0)		 = 725836 0
kevent_qos(0xFFFFFFFF, 0x7FE3D4402C70, 0x1)		 = 0 0
bsdthread_ctl(0x100, 0x8FF, 0xFFFFFFFF)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
bsdthread_ctl(0x100, 0x10FF, 0xFFFFFFFF)		 = 0 0
thread_selfid(0x0, 0x0, 0x0)		 = 725837 0
kevent_qos(0xFFFFFFFF, 0x7FE3D4403580, 0x1)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
bsdthread_ctl(0x400, 0xD03, 0x1000)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x700002799B80, 0x0)		 = 0 Err#-2
ulock_wake(0x1000002, 0x10DACBA00, 0x0)		 = -2 0
ulock_wait(0x1010002, 0x10DACBA00, 0x1402)		 = 0 0
kevent_qos(0xFFFFFFFF, 0x7FE3D4508A70, 0x1)		 = 0 0
ulock_wake(0x102, 0x10D9AE740, 0x0)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
ulock_wait(0x2, 0x10D9AE740, 0xD02)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
kevent_qos(0xFFFFFFFF, 0x7FE3D4600860, 0x1)		 = 0 0
kevent_qos(0xFFFFFFFF, 0x7FE3D46009B0, 0x1)		 = 0 0
psynch_mutexdrop(0x10D9AE6D0, 0x10000000203, 0x100)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0x203, 0x0)		 = 515 0
psynch_mutexdrop(0x10D9AE6D0, 0x20000000303, 0x200)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0x10000000303, 0x100)		 = 771 0
psynch_mutexdrop(0x10D9AE6D0, 0x30000000403, 0x300)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0x20000000403, 0x200)		 = 1027 0
psynch_mutexdrop(0x10D9AE6D0, 0x40000000503, 0x400)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0x30000000503, 0x300)		 = 1283 0
psynch_mutexdrop(0x10D9AE6D0, 0x50000000603, 0x500)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0x40000000603, 0x400)		 = 1539 0
psynch_mutexdrop(0x10D9AE6D0, 0x60000000703, 0x600)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0x50000000703, 0x500)		 = 1795 0
psynch_mutexdrop(0x10D9AE6D0, 0x70000000803, 0x700)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0x60000000803, 0x600)		 = 2051 0
psynch_mutexdrop(0x10D9AE6D0, 0x80000000903, 0x800)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0x70000000903, 0x700)		 = 2307 0
psynch_mutexdrop(0x10D9AE6D0, 0x90000000A03, 0x900)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0x80000000A03, 0x800)		 = 2563 0
psynch_mutexdrop(0x10D9AE6D0, 0xA0000000B03, 0xA00)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0x90000000B03, 0x900)		 = 2819 0
